protocol,seed,originated,delivered,resolved,completion_rate,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share,delivered_per_orig
linkstate-lsa2,17,2388,592,1658,0.35705669481302776,1066,0,0,0,43404,2.698074239464136,2.0320945945945947,0.3146072806962445,1,0.24790619765494137
linkstate-lsa2,18,2387,558,1673,0.3335325762104005,1115,0,0,0,44107,2.6726710659294928,2.0053763440860215,0.3116652039133496,1,0.23376623376623376
linkstate-lsa2,19,2379,481,1636,0.2940097799511002,1155,0,0,0,45622,2.696653165636325,2.0935550935550937,0.3153750291735839,1,0.20218579234972678
linkstate-lsa2-mpr,0,2378,844,1752,0.4817351598173516,908,0,0,0,37068,2.6402177560684588,1.9135071090047393,0.20171898471497374,0.4702401952757713,0.3549201009251472
linkstate-lsa2-mpr,1,2384,696,1689,0.41207815275310833,993,0,0,0,41240,2.6702928068241722,2.0545977011494254,0.2030874590508531,0.48449057067918366,0.29194630872483224
linkstate-lsa2-mpr,2,2380,666,1672,0.39832535885167464,1006,0,0,0,40930,2.7528965342777636,2.09009009009009,0.2117593732928947,0.4541154821945142,0.27983193277310925
linkstate-lsa2-mpr,3,2372,662,1693,0.39102185469580625,1031,0,0,0,41107,2.6708038678019914,2.015105740181269,0.19922787197960753,0.4821571873023026,0.2790893760539629
linkstate-lsa2-mpr,4,2377,695,1689,0.41148608644168144,994,0,0,1,40727,2.724381130312938,2.035971223021583,0.20292458263684857,0.4747691178367011,0.29238535969709717
linkstate-lsa2-mpr,5,2381,624,1675,0.3725373134328358,1051,0,0,0,42108,2.630142629112816,1.955128205128205,0.2049049831600167,0.4541781020955087,0.2620747585048299
linkstate-lsa2-mpr,6,2385,648,1699,0.38140082401412595,1051,0,0,0,41981,2.696372198933913,2.015432098765432,0.20842273324234542,0.4999553949774745,0.27169811320754716
linkstate-lsa2-mpr,7,2385,494,1657,0.29812914906457455,1163,0,0,0,45378,2.6992901275141317,2.0668016194331984,0.20078954445910122,0.5002248506727003,0.2071278825995807
linkstate-lsa2-mpr,8,2382,522,1596,0.32706766917293234,1074,0,0,0,43742,2.7168788604563217,1.9885057471264367,0.20134392092691591,0.4824385293464873,0.21914357682619648
linkstate-lsa2-mpr,9,2375,679,1691,0.4015375517445299,1012,0,0,0,41075,2.628211227402474,1.9646539027982326,0.2026912075612486,0.45491796638290566,0.28589473684210526
linkstate-lsa2-mpr,10,2388,631,1710,0.3690058479532164,1079,0,0,0,42951,2.7460247834192346,2.0570522979397783,0.20674903419200744,0.47741341450085617,0.26423785594639865
linkstate-lsa2-mpr,11,2390,517,1621,0.31893892658852563,1103,1,0,0,44352,2.6545533877703673,1.9593810444874276,0.20277802936115205,0.48814037891201606,0.21631799163179916
linkstate-lsa2-mpr,12,2382,525,1647,0.31876138433515483,1122,0,0,0,45085,2.758086739715242,2.0952380952380953,0.20491310433253893,0.47100771837287647,0.22040302267002518
linkstate-lsa2-mpr,13,2382,637,1699,0.37492642731018244,1062,0,0,0,42537,2.645373438694876,1.9215070643642072,0.20345854558581686,0.48020090727015524,0.2674223341729639
linkstate-lsa2-mpr,14,2378,728,1715,0.42448979591836733,986,1,0,0,39846,2.721288267563263,2.0645604395604398,0.206211156510499,0.48245602416022043,0.30613961312026916
linkstate-lsa2-mpr,15,2387,566,1677,0.3375074537865236,1111,0,0,0,43608,2.661318451342867,2.021201413427562,0.2071178028899031,0.46627186892759087,0.23711772098868872
linkstate-lsa2-mpr,16,2383,668,1723,0.387695879280325,1054,1,0,0,41732,2.7521895929933025,2.1377245508982035,0.21145273961891273,0.4825219726155334,0.28031892572387745
linkstate-lsa2-mpr,17,2388,609,1671,0.3644524236983842,1062,0,0,0,43354,2.7154203255215617,2.0689655172413794,0.2068093826201771,0.47163801371525366,0.2550251256281407
linkstate-lsa2-mpr,18,2387,584,1682,0.34720570749108204,1098,0,0,0,43534,2.709573796822119,2.058219178082192,0.1987466816113846,0.4742028801220714,0.2446585672392124
linkstate-lsa2-mpr,19,2379,464,1629,0.28483732351135665,1165,0,0,0,45886,2.6496028243601057,2.038793103448276,0.20261897315691854,0.46994403558485687,0.1950399327448508
linkstate,0,2378,1119,1848,0.6055194805194806,728,1,0,17,29548,3.097890809008389,2.415549597855228,0.5199167232763718,1,0.47056349873843567
linkstate,1,2384,905,1767,0.5121675155631012,862,0,0,3,35208,3.1485799701046338,2.503867403314917,0.5188722856345934,1,0.37961409395973156
linkstate,2,2380,859,1748,0.4914187643020595,889,0,0,0,35755,3.2153203342618384,2.4959254947613503,0.5277954236625003,1,0.36092436974789915
linkstate,3,2372,851,1752,0.4857305936073059,901,0,0,0,36295,3.1400388996943596,2.4853113983548765,0.5156019233218583,1,0.3587689713322091
linkstate,4,2377,957,1773,0.5397631133671743,816,0,0,4,33698,3.209447959150904,2.5538140020898643,0.5171745628938257,1,0.40260832982751366
linkstate,5,2381,837,1753,0.47746719908727897,912,4,0,0,36644,3.1456109780004358,2.4982078853046596,0.5233123928224352,1,0.3515329693406132
linkstate,6,2385,937,1792,0.5228794642857143,855,0,0,5,34399,3.2229385816084153,2.624332977588047,0.5137929802306572,1,0.3928721174004193
linkstate,7,2385,676,1714,0.3943990665110852,1037,1,0,0,40839,3.215900233826968,2.621301775147929,0.5094208615484654,1,0.28343815513626835
linkstate,8,2382,750,1671,0.4488330341113106,918,3,0,0,37669,3.191863153028202,2.578666666666667,0.5139739365998709,1,0.3148614609571788
linkstate,9,2375,898,1761,0.5099375354911981,861,2,0,15,34856,3.1000410424789657,2.4576837416481068,0.523469870822863,1,0.3781052631578947
