seed,nBalloons,ackPolicy,towerContact,meshHop,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,completionRate,meanTowerAdjacent,deliveryCeilingPerRound,slotsWithBundle,stallNoBelief,stallStaleNextHop
0,2000,source-routed,1,1,800,10.1565,99.8500,99.9000,7901,4434,2189,3511,830,254,1,10311,0.644664,44.9350,8.9870,50523,230,78
6,2000,source-routed,1,1,800,10.1530,99.8000,99.8000,7924,3921,2584,2990,851,330,0,12219,0.573665,37.5763,7.5152,53145,286,63
12,2000,source-routed,1,1,800,10.3525,99.7500,99.8000,7930,3394,2992,2590,743,331,3,12428,0.505060,29.2413,5.8483,55486,343,64
0,2000,source-routed,1,2,800,10.1565,99.8500,99.9000,7899,4745,1954,3635,998,217,1,20923,0.685991,44.9350,8.9870,44733,230,67
6,2000,source-routed,1,2,800,10.1530,99.8000,99.8000,7922,4194,2336,3085,1020,315,0,25581,0.612710,37.5763,7.5152,47699,286,59
12,2000,source-routed,1,2,800,10.3525,99.7500,99.8000,7924,3666,2760,2686,896,314,12,26808,0.542950,29.2413,5.8483,49412,343,58
0,2000,source-routed,1,4,800,10.1565,99.8500,99.9000,7899,4890,1817,3622,1128,231,3,37749,0.704509,44.9350,8.9870,42534,230,61
6,2000,source-routed,1,4,800,10.1530,99.8000,99.8000,7918,4356,2219,3123,1131,293,4,45902,0.633877,37.5763,7.5152,45105,286,54
12,2000,source-routed,1,4,800,10.3525,99.7500,99.8000,7923,3830,2593,2700,1037,305,10,48602,0.568418,29.2413,5.8483,46506,343,49
0,2000,source-routed,1,8,800,10.1565,99.8500,99.9000,7894,4927,1763,3637,1152,237,7,58861,0.710557,44.9350,8.9870,41834,230,62
6,2000,source-routed,1,8,800,10.1530,99.8000,99.8000,7917,4403,2159,3099,1195,293,4,72370,0.641930,37.5763,7.5152,44540,286,50
12,2000,source-routed,1,8,800,10.3525,99.7500,99.8000,7922,3887,2528,2659,1136,302,14,79548,0.577477,29.2413,5.8483,45840,343,50
0,2000,source-routed,4,1,800,10.1565,99.8500,99.9000,7909,6087,915,3404,2539,226,0,3874,0.842142,44.9350,35.9480,43828,230,71
6,2000,source-routed,4,1,800,10.1530,99.8000,99.8000,7931,5760,1158,3029,2613,258,0,4984,0.802676,37.5763,30.0610,45688,286,61
12,2000,source-routed,4,1,800,10.3525,99.7500,99.8000,7935,4800,1886,2549,2145,311,3,7391,0.685714,29.2413,23.3930,50293,343,54
0,2000,source-routed,4,2,800,10.1565,99.8500,99.9000,7908,6955,287,3457,3343,173,3,5561,0.937584,44.9350,35.9480,35179,230,56
6,2000,source-routed,4,2,800,10.1530,99.8000,99.8000,7930,6831,312,3062,3619,219,1,6067,0.927747,37.5763,30.0610,36247,286,50
12,2000,source-routed,4,2,800,10.3525,99.7500,99.8000,7937,5950,962,2548,3274,281,10,11331,0.826045,29.2413,23.3930,40547,343,49
0,2000,source-routed,4,4,800,10.1565,99.8500,99.9000,7906,7231,131,3479,3586,162,3,6850,0.960675,44.9350,35.9480,31518,230,49
6,2000,source-routed,4,4,800,10.1530,99.8000,99.8000,7933,7202,90,3004,4051,184,4,6124,0.962834,37.5763,30.0610,31923,286,44
12,2000,source-routed,4,4,800,10.3525,99.7500,99.8000,7937,6729,335,2590,4006,213,20,13975,0.922160,29.2413,23.3930,35375,343,42
0,2000,source-routed,4,8,800,10.1565,99.8500,99.9000,7906,7271,111,3486,3629,159,4,10980,0.963685,44.9350,35.9480,30957,230,44
6,2000,source-routed,4,8,800,10.1530,99.8000,99.8000,7933,7291,60,3048,4076,168,2,9087,0.969419,37.5763,30.0610,31169,286,43
12,2000,source-routed,4,8,800,10.3525,99.7500,99.8000,7936,6908,177,2577,4191,212,22,18607,0.943845,29.2413,23.3930,33769,343,36
0,2000,digest,1,1,800,10.1565,99.8500,99.9000,7902,4671,2020,4305,0,263,0,11200,0.671700,44.9350,8.9870,52244,230,73
6,2000,digest,1,1,800,10.1530,99.8000,99.8000,7922,4150,2394,3729,0,327,0,13910,0.603988,37.5763,7.5152,55702,286,67
12,2000,digest,1,1,800,10.3525,99.7500,99.8000,7933,3631,2802,3212,0,322,2,13558,0.537369,29.2413,5.8483,57502,343,66
0,2000,digest,1,2,800,10.1565,99.8500,99.9000,7901,4906,1819,4480,0,245,3,24042,0.703571,44.9350,8.9870,47198,230,71
6,2000,digest,1,2,800,10.1530,99.8000,99.8000,7923,4376,2162,3852,0,329,1,29863,0.637158,37.5763,7.5152,50653,286,58
12,2000,digest,1,2,800,10.3525,99.7500,99.8000,7928,3851,2618,3419,0,313,7,29929,0.567241,29.2413,5.8483,51726,343,59
0,2000,digest,1,4,800,10.1565,99.8500,99.9000,7892,5041,1712,4567,0,247,0,44034,0.720143,44.9350,8.9870,45418,230,63
6,2000,digest,1,4,800,10.1530,99.8000,99.8000,7924,4512,2031,4004,0,322,5,53956,0.656769,37.5763,7.5152,48324,286,57
12,2000,digest,1,4,800,10.3525,99.7500,99.8000,7929,4000,2465,3467,0,308,17,56305,0.589102,29.2413,5.8483,49464,343,55
0,2000,digest,1,8,800,10.1565,99.8500,99.9000,7899,5099,1632,4612,0,262,4,67675,0.728741,44.9350,8.9870,44904,230,62
6,2000,digest,1,8,800,10.1530,99.8000,99.8000,7923,4555,1979,4039,0,338,3,83475,0.662545,37.5763,7.5152,47725,286,55
12,2000,digest,1,8,800,10.3525,99.7500,99.8000,7925,4078,2376,3496,0,313,21,91293,0.600766,29.2413,5.8483,48763,343,53
0,2000,digest,4,1,800,10.1565,99.8500,99.9000,7909,6627,523,6135,0,226,0,2820,0.898454,44.9350,35.9480,43906,230,68
6,2000,digest,4,1,800,10.1530,99.8000,99.8000,7935,6450,609,6004,0,258,1,3406,0.881388,37.5763,30.0610,45491,286,62
12,2000,digest,4,1,800,10.3525,99.7500,99.8000,7940,5533,1317,5030,0,290,4,5576,0.774496,29.2413,23.3930,50066,343,57
0,2000,digest,4,2,800,10.1565,99.8500,99.9000,7908,7217,163,6760,0,181,3,3669,0.954125,44.9350,35.9480,35002,230,49
6,2000,digest,4,2,800,10.1530,99.8000,99.8000,7935,7262,85,6864,0,200,1,3135,0.962109,37.5763,30.0610,35693,286,47
12,2000,digest,4,2,800,10.3525,99.7500,99.8000,7940,6783,316,6211,0,245,18,6722,0.921353,29.2413,23.3930,39553,343,44
0,2000,digest,4,4,800,10.1565,99.8500,99.9000,7907,7314,108,6865,0,166,4,6082,0.963383,44.9350,35.9480,32550,230,45
